,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
0,So.,,0.0,0.0,0.0,0.0,0.0,Neutral,
1,There is something good.,something good,0.6000000000000001,0.744,0.0,0.256,0.4404,Positive,
2,I also hope that the rash greed is sharing.,also hope rash greed share,0.0,0.443,0.47,0.087,-0.0772,Negative,['Expectation']
3,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
4,No windows dash.,no window dash,0.0,0.0,0.524,0.476,-0.296,Negative,
5,Now shut up.,shut,0.0,0.0,0.0,1.0,0.0,Neutral,
6,And.,,0.0,0.0,0.0,0.0,0.0,Neutral,
7,"Looks fairly similar to the Dutch website, right, etc?",looks fairly similar dutch website right etc,0.46785714285714286,0.0,0.0,1.0,0.0,Neutral,
8,And.,,0.0,0.0,0.0,0.0,0.0,Neutral,
9,This takes.,take,0.0,0.0,0.0,1.0,0.0,Neutral,
10,Just same as it is over here.,,0.0,0.0,0.0,0.0,0.0,Neutral,
11,Fairly similar.,fairly similar,0.4,0.0,0.0,1.0,0.0,Neutral,
12,Yep.,yep,0.0,1.0,0.0,0.0,0.296,Positive,
13,And test you have your increase number compared to.,test increase number compare,0.0,0.643,0.0,0.357,0.3818,Positive,
14,I don't know when that could be.,not know could,0.0,0.0,0.554,0.446,-0.357,Negative,
15,It different how many people are hopeful their sent flexion ated?,different many people hopeful sent flexion ated,0.55,0.355,0.0,0.645,0.5106,Positive,
16,This one I should make would make my own.,one make would make,0.0,0.0,0.0,1.0,0.0,Neutral,
17,Bubble because I don't think these are just.,bubble not think,0.0,0.0,0.0,1.0,0.0,Neutral,
18,People below the straight will not be needed.,people straight not need,0.4,0.388,0.0,0.612,0.2263,Positive,
19,Each other.,,0.0,0.0,0.0,0.0,0.0,Neutral,
20,How many vaccinated people pretty clear and maybe put this number would make sense also right here.,many vaccinated people pretty clear maybe put number would make sense also right,0.6047619047619047,0.415,0.0,0.585,0.7269,Positive,
21,Uhm?,uhm,0.0,0.0,0.0,1.0,0.0,Neutral,
22,"But yeah, it makes sense.",yeah make sense,0.0,0.524,0.0,0.476,0.296,Positive,
23,It looks good.,look good,0.6000000000000001,0.744,0.0,0.256,0.4404,Positive,
24,"Useful that this is just right at film top, because I suspect a lot of people need it.",useful right film top suspect lot people need,0.3452380952380952,0.395,0.185,0.42,0.3612,Positive,
25,The QikLink makes sense.,qiklink make sense,0.0,0.0,0.0,1.0,0.0,Neutral,
26,Uhm?,uhm,0.0,0.0,0.0,1.0,0.0,Neutral,
27,I don't know exactly what this means.,not know exactly mean,0.6875,0.0,0.453,0.547,-0.357,Negative,
28,Some things don't translate directly very well like this.,thing not translate directly well like,0.4,0.301,0.218,0.481,0.1744,Positive,['Satisfaction']
29,"And well, this map isn't working, so that's a bit weird.",well map not work bit weird,1.0,0.475,0.0,0.525,0.3855,Positive,
30,And.,,0.0,0.0,0.0,0.0,0.0,Neutral,
31,"Front page looks very clear, make sense and.",front page look clear make sense,0.3833333333333333,0.342,0.0,0.658,0.3818,Positive,
32,Looks good.,looks good,0.6000000000000001,0.744,0.0,0.256,0.4404,Positive,
33,For here yeah.,yeah,0.0,1.0,0.0,0.0,0.296,Positive,
34,"Looks good as well, just.",looks good well,0.6000000000000001,0.833,0.0,0.167,0.6124,Positive,
35,"Uhm, schimler things just.",uhm schimler thing,0.0,0.0,0.0,1.0,0.0,Neutral,
36,"Yeah, looks good.",yeah look good,0.6000000000000001,0.836,0.0,0.164,0.6249,Positive,
37,This map is working and it's useful.,map work useful,0.0,0.592,0.0,0.408,0.4404,Positive,
38,Uhm?,uhm,0.0,0.0,0.0,1.0,0.0,Neutral,
39,Yeah.,yeah,0.0,1.0,0.0,0.0,0.296,Positive,
40,Make sense.,make sense,0.0,0.0,0.0,1.0,0.0,Neutral,
41,And yeah.,yeah,0.0,1.0,0.0,0.0,0.296,Positive,
42,It's my initial impression.,initial impression,0.0,0.655,0.0,0.345,0.2263,Positive,
43,Uhm?,uhm,0.0,0.0,0.0,1.0,0.0,Neutral,
44,Would maybe maybe another change could.,would maybe maybe another change could,0.0,0.0,0.0,1.0,0.0,Neutral,
45,See that you were writing the most important current measurements as also just above the form section.,see write important current measurement also form section,0.7,0.444,0.0,0.556,0.5859,Positive,
46,"And that would be useful for I. I would think that would be useful, but and other people may think differently.",would useful would think would useful people may think differently,0.19999999999999998,0.42,0.0,0.58,0.7003,Positive,
47,Find information about the rich region is.,find information rich region,0.75,0.767,0.0,0.233,0.765,Positive,
48,Highest number of COVID cases well.,highest number covid case well,0.0,0.531,0.0,0.469,0.34,Positive,
49,"Brief, if we go to the over here.",brief go,0.3333333333333333,0.0,0.0,1.0,0.0,Neutral,
50,We have Did number off.,number,0.0,1.0,0.0,0.0,0.0772,Positive,
51,Throw 2 cases.,throw 2 case,0.0,0.0,0.0,1.0,0.0,Neutral,
52,Peregian Shall I believe that's the pressure region?,peregian shall believe pressure region,0.0,0.0,0.355,0.645,-0.296,Negative,
53,With the most most number.,number,0.0,1.0,0.0,0.0,0.0772,Positive,
54,"But yeah, that's the most I have number of total cases.",yeah number total case,0.75,0.636,0.0,0.364,0.3612,Positive,
55,In the region.,region,0.0,0.0,0.0,1.0,0.0,Neutral,
56,I believe at least that.,believe least,0.4,0.0,0.0,1.0,0.0,Neutral,
57,This is the number that shows up here.,number show,0.0,0.565,0.0,0.435,0.0772,Positive,
58,"In fact, he had this map doesn't make much sense, but probably if you live in traffic here you can just see.",fact map not make much sense probably live traffic see,0.35,0.25,0.0,0.75,0.4588,Positive,
59,"Oh yeah, I live right here, so I'm in this region.",oh yeah live right region,0.5178571428571428,0.355,0.0,0.645,0.296,Positive,
60,So you could take both in Africa about some regions or.,could take africa region,0.0,0.0,0.0,1.0,0.0,Neutral,
61,Stuff like that.,stuff like,0.0,0.714,0.0,0.286,0.3612,Positive,['Satisfaction']
62,Uhm yeah.,uhm yeah,0.0,0.688,0.0,0.312,0.296,Positive,
63,So and.,,0.0,0.0,0.0,0.0,0.0,Neutral,
64,These are probably municipals or something.,probably municipals something,0.0,0.0,0.0,1.0,0.0,Neutral,
