,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
0,  Website.,website,0.0,0.0,0.0,1.0,0.0,Neutral,
1,This website shows the statistics of.,website show statistic,0.0,0.0,0.0,1.0,0.0,Neutral,
2,Coronavirus.,coronavirus,0.0,0.0,0.0,1.0,0.0,Neutral,
3,Of Slovakian Republic it is giving important and up-to-date information about COVID and all the measures that were taken by the Government of Slovakia.,slovakian republic give important uptodate information covid measure take government slovakia,1.0,0.153,0.0,0.847,0.2023,Positive,
4,It also gives the daily statistics increase and decrease the total and.,also give daily statistic increase decrease total,0.375,0.277,0.0,0.723,0.3182,Positive,
5,Hum.,hum,0.0,0.0,0.0,1.0,0.0,Neutral,
6,Where racks in ated.,rack ated,0.0,0.0,0.0,1.0,0.0,Neutral,
7,"Vaccination for the first dose for the third dose vaccination without the registration on Slovakia, and how do you register PCR test registration for age test.",vaccination first dose third dose vaccination without registration slovakia register pcr test registration age test,0.16666666666666666,0.0,0.0,1.0,0.0,Neutral,
8,And I'll kovit automat.,shall kovit automat,0.0,0.0,0.0,1.0,0.0,Neutral,
9,"And there are frequently asked questions such as what are the current measures, the immigration and travel, and what are the symptoms of coronavirus and what are its treatment and how do you prevent the infection?",frequently ask question current measure immigration travel symptom coronavirus treatment prevent infection,0.35,0.091,0.0,0.909,0.0258,Positive,
10,It also gives you what if you.,also give,0.0,0.0,0.0,1.0,0.0,Neutral,
11,Connected with.,connected,0.0,0.0,0.0,1.0,0.0,Neutral,
12,COVID disease and how you can reduce it further.,covid disease reduce far,1.0,0.0,0.0,1.0,0.0,Neutral,
13,"Alright, vaccination you bought it distinct.",alright vaccination buy distinct,0.3,0.4,0.0,0.6,0.25,Positive,
14,Covert digital.,covert digital,0.0,0.0,0.0,1.0,0.0,Neutral,
15,Quality Pass next task.,quality pass next task,0.0,0.0,0.0,1.0,0.0,Neutral,
16,Describe your initial impression with the website.,describe initial impression website,0.0,0.388,0.0,0.612,0.2263,Positive,
17,My initial impression is.,initial impression,0.0,0.655,0.0,0.345,0.2263,Positive,
18,There are very less colors chosen for the website.,less color choose website,0.06666666666666667,0.0,0.0,1.0,0.0,Neutral,
19,The information is appearing right in front of you.,information appear right front,0.5357142857142857,0.0,0.0,1.0,0.0,Neutral,
20,"That is, it is showing you the daily statistics.",show daily statistic,0.0,0.0,0.0,1.0,0.0,Neutral,
21,That is important for a person to know about the ongoing covert situation of Slovakia.,important person know ongoing covert situation slovakia,1.0,0.49,0.0,0.51,0.5859,Positive,
22,A test.,test,0.0,0.0,0.0,1.0,0.0,Neutral,
23,I'm sorry the results such as how many PCR tests were done and how many people were hospitalized and how many people have been fully vaccinated so far and how many people have.,sorry result many pcr test many people hospitalize many people fully vaccinate far many people,0.6666666666666666,0.0,0.085,0.915,-0.0772,Negative,
24,Oh Succumbed to the.,oh succumbed,0.0,0.0,0.0,1.0,0.0,Neutral,
25,COVID all the statistics are given.,covid statistic give,0.0,0.0,0.0,1.0,0.0,Neutral,
26,Now describe your initial impression with the website would be.,describe initial impression website would,0.0,0.322,0.0,0.678,0.2263,Positive,
27,"I think this is the maximum information that one needs, and I think this is fantastic.",think maximum information one need think fantastic,0.9,0.375,0.0,0.625,0.5574,Positive,
28,"There's no unnecessary information being provided on the website as you, as I can see, the important information is bigger in font.",no unnecessary information provide website see important information big font,0.6666666666666666,0.343,0.157,0.5,0.3818,Positive,
29,"And the lesson, uh, important is.",lesson uh important,1.0,0.474,0.0,0.526,0.2023,Positive,
30,In a grade font grade color the font color.,grade font grade color font color,0.0,0.0,0.0,1.0,0.0,Neutral,
31,The font size is small and.,font size small,0.4,0.0,0.6,0.4,-0.4588,Negative,
32,And the color of the font is great.,color font great,0.75,0.672,0.0,0.328,0.6249,Positive,
33,I wouldn't need when.,would not need,0.0,0.0,0.0,1.0,0.0,Neutral,
34,Was last updated or the statistics are updated of 10?,last update statistic update 10,0.06666666666666667,0.0,0.0,1.0,0.0,Neutral,
35,M doesn't really matter and it is also giving me a very good fantastic resource for how do I get vaccinated if I'm abroad?,not really matter also give good fantastic resource get vaccinate abroad,0.5666666666666668,0.412,0.082,0.507,0.7359,Positive,
36,What if my relatives are abroad?,relative abroad,0.0,0.0,0.0,1.0,0.0,Neutral,
37,How can I give them?,give,0.0,0.0,0.0,1.0,0.0,Neutral,
38,"Oh, the travel and immigration rules that are applying during the during the pandemic.",oh travel immigration rule apply pandemic,0.0,0.0,0.0,1.0,0.0,Neutral,
39,And how do I prevent the infection?,prevent infection,0.0,0.524,0.0,0.476,0.0258,Positive,
40,What if I am experiencing COVID and if I have come across in contact with people who have covered then?,experience covid come across contact people cover,0.0,0.0,0.0,1.0,0.0,Neutral,
41,What needs to be done?,need,0.0,0.0,0.0,1.0,0.0,Neutral,
42,"Uh, the Slovakia government is providing all of this.",uh slovakia government provide,0.0,0.0,0.0,1.0,0.0,Neutral,
43,"Signation Overall, I can say that the information what is required the government is providing that.",signation overall say information require government provide,0.0,0.0,0.0,1.0,0.0,Neutral,
44,And it's very good.,good,0.6000000000000001,1.0,0.0,0.0,0.4404,Positive,
45,"Find it because there are no numbers given exactly, there's only.",find no number give exactly,0.25,0.415,0.169,0.415,0.4172,Positive,
46,It's the information when I'm hovering over the map of Slovakia.,information hover map slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
