,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
0,Spend one to spend one or two minutes familiarizing yourself with the website.,spend one spend one two minute familiarize website,0.0,0.0,0.0,1.0,0.0,Neutral,
1,"OK. OK, I'm scrolling around the website and looking.",ok ok scroll around website look,0.5,0.524,0.0,0.476,0.5267,Positive,
2,To what I can find.,find,0.0,1.0,0.0,0.0,0.4588,Positive,
3,There is information about vacation testing called plus some useful applications.,information vacation testing call plus useful application,0.0,0.326,0.0,0.674,0.4404,Positive,
4,"Uh, yeah, I can switch the language and we'll some stats.",uh yeah switch language stats,0.0,0.355,0.0,0.645,0.296,Positive,
5,I saw some advanced statistics.,saw advanced statistic,0.6,0.5,0.0,0.5,0.25,Positive,
6,"Also, there is code Automat which is currently disabled.",also code automat currently disable,0.4,0.0,0.0,1.0,0.0,Neutral,
7,You can register for the first or.,register first,0.3333333333333333,0.0,0.0,1.0,0.0,Neutral,
8,3rd dose of the vacation.,3rd dose vacation,0.0,0.0,0.0,1.0,0.0,Neutral,
9,And also register for tests VCR and IG.,also register test vcr ig,0.0,0.0,0.0,1.0,0.0,Neutral,
10,"OK, let's let's continue to the next task.",ok let us let us continue next task,0.25,0.239,0.0,0.761,0.296,Positive,
11,Describe your initial impressions with the web.,describe initial impression web,0.0,0.388,0.0,0.612,0.2263,Positive,
12,With.,,0.0,0.0,0.0,0.0,0.0,Neutral,
13,"First of all, I think it's quite a quite a long way to down, like.",first think quite quite long way like,0.3666666666666667,0.315,0.0,0.685,0.4144,Positive,['Satisfaction']
14,I mean it's there's so much information that I can keep scrolling and scrolling feels forever.,mean much information keep scrolling scroll feel forever,0.44375,0.0,0.0,1.0,0.0,Neutral,
15,"Uh, I would prefer if there were.",uh would prefer,0.0,0.0,0.0,1.0,0.0,Neutral,['Suggestion']
16,Maybe some kind of tabs where I can on the top where I can choose if I'm interested in tests or what vaccination or some other applications and.,maybe kind tab top choose interested test vaccination application,0.6333333333333333,0.568,0.0,0.432,0.7845,Positive,
17,Nation.,nation,0.0,0.0,0.0,1.0,0.0,Neutral,
18,Find the task number 23.,find task number 23,0.0,0.683,0.0,0.317,0.5106,Positive,
